Sector,2015,2014,2013,Triangle Region,Asheville,Candler,Cary,Chapel Hill,Charlotte,Clayton,Durham,Greensboro,Horsham,Morrisville,Raleigh,Research Triangle Park,Wake Forest,Waxhaw,Wilmington,Winston-Salem,Zebulon,0-999k,1m-4.9m,5m-14.9m,15m-29.9m,30m-49.9m,50m+
Tech,47,,42,36,,1,6,3,3,,11,,1,1,13,10,1,1,2,,,,,,,,
Life Science,26,,25,24,1,,1,1,,,6,,,2,4,2,,,,1,,,,,,,
Advanced Manufacturing & Materials,9,,12,7,,,,,,,2,,,1,3,1,,,,,1,,,,,,
Cleantech,4,,1,3,,,,,1,,1,1,,,2,1,,,,,,,,,,,
