Type,Tech,Life Science,Advanced Manufacturing & Materials,Cleantech,2015,2014,2013,Triangle Region,Asheville,Candler,Cary,Chapel Hill,Charlotte,Clayton,Durham,Greensboro,Horsham,Morrisville,Raleigh,Research Triangle Park,Wake Forest,Waxhaw,Wilmington,Winston-Salem,Zebulon,0-999k,1m-4.9m,5m-14.9m,15m-29.9m,30m-49.9m,50m+
Deals,48,26,10,6,90,174,85,74,1,1,7,4,4,1,21,2,1,4,24,14,1,1,2,1,1,44,29,6,8,2,1
Companies,46,26,9,4,85,135,80,70,1,1,7,4,4,1,20,1,1,4,21,14,1,1,2,1,1,,,,,,
