Sector,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4
Tech,52673746,61778573,,,146012319,36084050,41149158,38584010,22870224,24491950,23744183,20591746
Life Science,132076554,136260374,,,16176684,19381452,38205554,112992665,48898486,70867276,52087558,51858061
Advanced Manufacturing & Materials,23900000,10500000,,,20060810,3980814,5300000,44899700,8963428,26905988,1366000,33414248
Cleantech,8547500,1200000,,,388000,7749175,177600,1500000,2046400,0,499996,10250000
