Sector,2015,2014,2013,Triangle Region,Asheville,Candler,Cary,Chapel Hill,Charlotte,Clayton,Durham,Greensboro,Horsham,Morrisville,Raleigh,Research Triangle Park,Wake Forest,Waxhaw,Wilmington,Winston-Salem,Zebulon,0-999k,1m-4.9m,5m-14.9m,15m-29.9m,30m-49.9m,50m+
Tech,48,,45,38,,1,6,3,3,1,12,,1,1,14,2,1,1,2,,,26,17,2,2,,
Life Science,26,,27,24,1,,1,1,,,6,,,2,4,10,,,,1,,9,7,2,5,2,1
Advanced Manufacturing & Materials,10,,12,7,,,,,,,2,2,,1,3,1,,,,,1,7,1,1,1,,
Cleantech,6,,1,5,,,,,1,1,1,,,,3,1,,,,,,2,3,1,,,
